method,dim,N_or_window,iter,semantic_acc,syntactic_acc,total_acc,semantic_valid,syntactic_valid,total_valid,test_set
skip-gram,32,2,,33.1,2.0,6.5,272,1614,1886,questions-words.txt
skip-gram,32,4,,29.4,2.5,6.4,272,1614,1886,questions-words.txt
skip-gram,32,6,,29.8,2.0,6.0,272,1614,1886,questions-words.txt
skip-gram,32,8,,24.6,1.7,5.0,272,1614,1886,questions-words.txt
skip-gram,200,2,,10.7,1.2,2.6,272,1614,1886,questions-words.txt
skip-gram,200,4,,12.1,1.4,2.9,272,1614,1886,questions-words.txt
skip-gram,200,6,,14.0,1.2,3.0,272,1614,1886,questions-words.txt
skip-gram,200,8,,18.8,0.9,3.5,272,1614,1886,questions-words.txt
cbow,200,2,,27.6,3.3,6.8,272,1614,1886,questions-words.txt
cbow,200,4,,27.9,3.5,7.0,272,1614,1886,questions-words.txt
cbow,200,6,,26.5,3.7,7.0,272,1614,1886,questions-words.txt
cbow,200,8,,22.8,3.3,6.1,272,1614,1886,questions-words.txt
NNLM,32,ctx4,,0.0,0.1,0.1,272,1938,2210,questions-words.txt
NNLM,200,ctx4,,0.0,0.0,0.0,272,1938,2210,questions-words.txt
RNNLM,32,rnn,,0.4,0.1,0.1,272,1938,2210,questions-words.txt
RNNLM,200,rnn,,0.0,0.0,0.0,272,1938,2210,questions-words.txt
Diffusion,200,8,1,9.9,0.1,1.3,272,1938,2210,questions-words.txt
Diffusion,200,8,4,4.8,0.5,1.0,272,1938,2210,questions-words.txt
Diffusion,200,10,1,9.9,0.2,1.4,272,1938,2210,questions-words.txt
Diffusion_prerobust,200,8,0,5.9,0.3,1.0,272,1938,2210,questions-words.txt
Diffusion_prerobust,200,8,1,7.7,0.2,1.1,272,1938,2210,questions-words.txt
Diffusion_prerobust,200,8,2,10.3,0.6,1.8,272,1938,2210,questions-words.txt
